id,Marca,Modelo,Combustible,Año,Precio,Imagen1,Imagen2
41,Citroën,C4,Gasolina,2022,20.000.000,citroen_c4_01.jpg,citroen_c4_02.jpg
42,Skoda,Octavia,Gasolina,2020,30.000.000,skoda_octavia_01.jpg,skoda_octavia_02.jpg
43,Seat,Leon,Gasolina,2021,25.000.000,seat_leon_01.jpg,seat_leon_02.jpg
44,Fiat,500,Eléctrico,2022,15.000.000,fiat_500_01.jpg,fiat_500_02.jpg
45,Suzuki,Swift,Gasolina,2020,20.000.000,suzuki_swift_01.jpg,suzuki_swift_02.jpg
46,Isuzu,D-Max,Diésel,2021,35.000.000,isuzu_dmax_01.jpg,isuzu_dmax_02.jpg
47,Mazda,MX-5,Gasolina,2022,40.000.000,mazda_mx5_01.jpg,mazda_mx5_02.jpg
48,Chevrolet,Bolt,Eléctrico,2020,30.000.000,chevrolet_bolt_01.jpg,chevrolet_bolt_02.jpg
49,Honda,CR-V,Gasolina,2021,35.000.000,honda_crv_01.jpg,honda_crv_02.jpg
50,Toyota,Prius,Eléctrico,2022,25.000.000,toyota_prius_01.jpg,toyota_prius_02.jpg
51,Nissan,Rogue,Gasolina,2020,30.000.000,nissan_rogue_01.jpg,nissan_rogue_02.jpg
52,Ford,Explorer,Diésel,2021,35.000.000,ford_explorer_01.jpg,ford_explorer_02.jpg
53,Tesla,Model 3,Eléctrico,2021,50.000.000,tesla_model_3_01.jpg,tesla_model_3_02.jpg
54,Hyundai,Kona,Eléctrico,2020,35.000.000,hyundai_kona_01.jpg,hyundai_kona_02.jpg
55,Kia,Niro,Eléctrico,2021,40.000.000,kia_niro_01.jpg,kia_niro_02.jpg
56,BMW,i3,Eléctrico,2022,45.000.000,bmw_i3_01.jpg,bmw_i3_02.jpg
57,Mercedes-Benz,EQC,Eléctrico,2020,70.000.000,mercedes_eqc_01.jpg,mercedes_eqc_02.jpg
58,Audi,e-tron,Eléctrico,2021,80.000.000,audi_etron_01.jpg,audi_etron_02.jpg
59,Volkswagen,ID.4,Eléctrico,2022,55.000.000,volkswagen_id4_01.jpg,volkswagen_id4_02.jpg
60,Porsche,Taycan,Eléctrico,2021,100.000.000,porsche_taycan_01.jpg,porsche_taycan_02.jpg
61,Jaguar,E-Pace,Diésel,2020,60.000.000,jaguar_epace_01.jpg,jaguar_epace_02.jpg
62,Land Rover,Defender,Diésel,2021,75.000.000,land_rover_defender_01.jpg,land_rover_defender_02.jpg
63,Bentley,Bentayga,Diésel,2022,150.000.000,bentley_bentayga_01.jpg,bentley_bentayga_02.jpg
64,Rolls-Royce,Cullinan,Gasolina,2021,300.000.000,rolls_royce_cullinan_01.jpg,rolls_royce_cullinan_02.jpg
65,Aston Martin,Vantage,Gasolina,2020,400.000.000,aston_martin_vantage_01.jpg,aston_martin_vantage_02.jpg
66,Alfa Romeo,Stelvio,Gasolina,2021,50.000.000,alfa_romeo_stelvio_01.jpg,alfa_romeo_stelvio_02.jpg
67,Infiniti,QX60,Gasolina,2022,45.000.000,infiniti_qx60_01.jpg,infiniti_qx60_02.jpg
68,Acura,RDX,Gasolina,2020,35.000.000,acura_rdx_01.jpg,acura_rdx_02.jpg
69,Buick,Envision,Gasolina,2021,30.000.000,buick_envision_01.jpg,buick_envision_02.jpg
70,Cadillac,Escalade,Gasolina,2022,80.000.000,cadillac_escalade_01.jpg,cadillac_escalade_02.jpg
71,GMC,Acadia,Diésel,2020,40.000.000,gmc_acadia_01.jpg,gmc_acadia_02.jpg
72,Lincoln,Aviator,Gasolina,2021,60.000.000,lincoln_aviator_01.jpg,lincoln_aviator_02.jpg
73,Mitsubishi,Eclipse Cross,Gasolina,2022,35.000.000,mitsubishi_eclipse_cross_01.jpg,mitsubishi_eclipse_cross_02.jpg
74,Mini,Countryman,Gasolina,2020,30.000.000,mini_countryman_01.jpg,mini_countryman_02.jpg
75,Genesis,G80,Gasolina,2021,40.000.000,genesis_g80_01.jpg,genesis_g80_02.jpg
76,Peugeot,508,Gasolina,2022,35.000.000,peugeot_508_01.jpg,peugeot_508_02.jpg
77,Renault,Kadjar,Gasolina,2020,25.000.000,renault_kadjar_01.jpg,renault_kadjar_02.jpg
78,Citroën,C5 Aircross,Gasolina,2021,30.000.000,citroen_c5_aircross_01.jpg,citroen_c5_aircross_02.jpg
79,Skoda,Superb,Gasolina,2022,40.000.000,skoda_superb_01.jpg,skoda_superb_02.jpg
80,Seat,Ateca,Gasolina,2020,25.000.000,seat_ateca_01.jpg,seat_ateca_02.jpg
81,Fiat,Panda,Eléctrico,2021,20.000.000,fiat_panda_01.jpg,fiat_panda_02.jpg
82,Suzuki,Vitara,Gasolina,2022,30.000.000,suzuki_vitara_01.jpg,suzuki_vitara_02.jpg
83,Isuzu,Mu-X,Diésel,2020,35.000.000,isuzu_mux_01.jpg,isuzu_mux_02.jpg
84,Mazda,CX-30,Gasolina,2021,35.000.000,mazda_cx30_01.jpg,mazda_cx30_02.jpg
85,Chevrolet,Trailblazer,Gasolina,2022,30.000.000,chevrolet_trailblazer_01.jpg,chevrolet_trailblazer_02.jpg
86,Honda,Accord,Gasolina,2020,30.000.000,honda_accord_01.jpg,honda_accord_02.jpg
87,Toyota,Camry,Gasolina,2021,35.000.000,toyota_camry_01.jpg,toyota_camry_02.jpg
88,Nissan,Altima,Gasolina,2022,35.000.000,nissan_altima_01.jpg,nissan_altima_02.jpg
89,Ford,Mustang,Gasolina,2020,50.000.000,ford_mustang_01.jpg,ford_mustang_02.jpg
90,Tesla,Model X,Eléctrico,2021,120.000.000,tesla_model_x_01.jpg,tesla_model_x_02.jpg
91,Hyundai,Ioniq,Eléctrico,2022,35.000.000,hyundai_ioniq_01.jpg,hyundai_ioniq_02.jpg
92,Kia,EV6,Eléctrico,2020,45.000.000,kia_ev6_01.jpg,kia_ev6_02.jpg
93,BMW,iX3,Eléctrico,2021,70.000.000,bmw_ix3_01.jpg,bmw_ix3_02.jpg
94,Mercedes-Benz,EQS,Eléctrico,2022,80.000.000,mercedes_eqs_01.jpg,mercedes_eqs_02.jpg
95,Audi,RS Q8,Gasolina,2020,150.000.000,audi_rs_q8_01.jpg,audi_rs_q8_02.jpg
96,Volkswagen,Arteon,Gasolina,2021,40.000.000,volkswagen_arteon_01.jpg,volkswagen_arteon_02.jpg
97,Tesla ,cybertruck,bencina,undefined,10000000,1716991304552.webp,1716991304552.webp
